,,,,,,,
Código,Descripción,Costo proveedor,Precio Venta,Piezas disponibles,Proveedor,Categoria,Subcategoria
TS01,Tres Cosas para ti: Preguntas aisladas,,$300.00,,Wushcraft,Tarot,Tarot
TS02,"Situación: pasado, presente, futuro",,$300.00,,Wushcraft,Tarot,Tarot
TS03,6 cartas desarrollo de situacion,,$500.00,,Wushcraft,Tarot,Tarot
TS04,8 cartas cerrando ciclos,,$650.00,,Wushcraft,Tarot,Tarot
TS05,12 cartas analizando tu año,,$800.00,,Wushcraft,Tarot,Tarot
CT01,Arcanos Menores Mensualidad,$624.75,$833.00,,Wushcraft,Curso/Taller,Tarot
CT02,Arcanos Mayores Mensualidad,$666.00,$888.00,,Wushcraft,Curso/Taller,Tarot
CS01,Facial Piel Porcelana,$325.00,$650.00,,Paula Valencia,Cosmetologia,Facial
CS02,Facial Hidratante,$225.00,$450.00,,Paula Valencia,Cosmetologia,Facial
CS03,Facial Limpieza profunda,$225.00,$450.00,,Paula Valencia,Cosmetologia,Facial
CS04,Facial Básico,$199.50,$399.00,,Paula Valencia,Cosmetologia,Facial
CS05,Facial Detox,$225.00,$450.00,,Paula Valencia,Cosmetologia,Facial
CS06,Facial Piel Sensible,$225.00,$450.00,,Paula Valencia,Cosmetologia,Facial
CS07,Facial Piel Porcelana Paq. 3 Sesiones,$825.00,"$1,650.00",,Paula Valencia,Cosmetologia,Facial
CS08,Facial Hidratante Paq. 3 Sesiones,$600.00,"$1,200.00",,Paula Valencia,Cosmetologia,Facial
CS09,Facial Limpieza profunda Paq. 3 Sesiones,$600.00,"$1,200.00",,Paula Valencia,Cosmetologia,Facial
CS10,Facial Básico Paq. 3 Sesiones,$523.50,"$1,047.00",,Paula Valencia,Cosmetologia,Facial
CS11,Facial Detox Paq. 3 Sesiones,$600.00,"$1,200.00",,Paula Valencia,Cosmetologia,Facial
CS12,Facial Piel Sensible Paq. 3 Sesiones,$600.00,"$1,200.00",,Paula Valencia,Cosmetologia,Facial
CS13,Anticelulitico,$225.00,$450.00,,Paula Valencia,Cosmetologia,Corporales
